"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Opérateur;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
313;X;;08/02/2018;"0_TECHNICIENS (Groupe Techniciens)";117;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 117 (VAP 3T2 16b GN/FOD)";;
314;X;;08/02/2018;"BAZELISAL (Alexandre Bazelis)";117;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 117 (VAP 3T2 16b GN/FOD)";;
316;;;14/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";146;BRULEUR;"manque torche bruleur, démontage fait sur site pour dépanner m151 de Cadarache";;
315;;;14/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";151;VANNE;"REMPLACEMENT KIT GARNITURE SUR VANNE PNEUMATIQUE 6571 AVEC KIT 6572
FRAPPER LE NUMÉRO DE VANNE 6571-2";;
329;X;;22/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";115;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 115 (VAP 3T2 16b GN/FOD)";;
330;X;;22/02/2018;"0_TECHNICIENS (Groupe Techniciens)";115;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 115 (VAP 3T2 16b GN/FOD)";;
331;X;;22/02/2018;"BAZELISAL (Alexandre Bazelis)";115;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 115 (VAP 3T2 16b GN/FOD)";;
323;X;;22/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";547;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 547 (BALLON DETENTE PURGES SPE ES)";;
324;X;;22/02/2018;"0_TECHNICIENS (Groupe Techniciens)";547;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 547 (BALLON DETENTE PURGES SPE ES)";;
325;X;;22/02/2018;"BAZELISAL (Alexandre Bazelis)";547;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 547 (BALLON DETENTE PURGES SPE ES)";;
332;X;;26/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";145;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 145 (VAP 12T 28b GN/FOD)";;
333;X;;26/02/2018;"0_TECHNICIENS (Groupe Techniciens)";145;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 145 (VAP 12T 28b GN/FOD)";;
334;X;;26/02/2018;"BAZELISAL (Alexandre Bazelis)";145;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 145 (VAP 12T 28b GN/FOD)";;
335;X;;26/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";146;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 146 (VAP 12T 28b GN/FOD)";;
336;X;;26/02/2018;"0_TECHNICIENS (Groupe Techniciens)";146;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 146 (VAP 12T 28b GN/FOD)";;
337;X;;26/02/2018;"BAZELISAL (Alexandre Bazelis)";146;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 146 (VAP 12T 28b GN/FOD)";;
338;X;;27/02/2018;"0_MÉCANICIENS (Groupe mécaniciens)";126;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 126 (VAP 16T 24,5b GN/FOD)";;
339;X;;27/02/2018;"0_TECHNICIENS (Groupe Techniciens)";126;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 126 (VAP 16T 24,5b GN/FOD)";;
340;X;;27/02/2018;"BAZELISAL (Alexandre Bazelis)";126;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 126 (VAP 16T 24,5b GN/FOD)";;
348;X;;15/03/2018;"0_MÉCANICIENS (Groupe mécaniciens)";113;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 113 (VAP 1,25T 16B GN/FOD)";;
349;X;;15/03/2018;"0_TECHNICIENS (Groupe Techniciens)";113;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 113 (VAP 1,25T 16B GN/FOD)";;
350;X;;15/03/2018;"BAZELISAL (Alexandre Bazelis)";113;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 113 (VAP 1,25T 16B GN/FOD)";;
351;X;;15/03/2018;"0_MÉCANICIENS (Groupe mécaniciens)";535;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 535 (Cuve FOD 15m3)";;
352;X;;15/03/2018;"0_TECHNICIENS (Groupe Techniciens)";535;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 535 (Cuve FOD 15m3)";;
353;X;;15/03/2018;"BAZELISAL (Alexandre Bazelis)";535;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 535 (Cuve FOD 15m3)";;
354;X;;23/03/2018;"0_MÉCANICIENS (Groupe mécaniciens)";114;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
355;X;;23/03/2018;"0_TECHNICIENS (Groupe Techniciens)";114;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
356;X;;23/03/2018;"BAZELISAL (Alexandre Bazelis)";114;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 114 (VAP 1,25T 16B GN/FOD)";;
357;X;;26/03/2018;"0_MÉCANICIENS (Groupe mécaniciens)";109;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
358;X;;26/03/2018;"0_TECHNICIENS (Groupe Techniciens)";109;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 109 (VAP 6T 20b GN/FOD)";;
359;X;;26/03/2018;"BAZELISAL (Alexandre Bazelis)";109;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 109 (VAP 6T 20b GN/FOD)";;
363;;;26/03/2018;"BAZELISAL (Alexandre Bazelis)";142;"ARMOIRE ÉLECTRIQUE";"PROBLEME ETIquette CE à conrtroler";;
360;X;;26/03/2018;"0_MÉCANICIENS (Groupe mécaniciens)";510;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 510 (BARILLET DN200 INOX x20b)";;
361;X;;26/03/2018;"0_TECHNICIENS (Groupe Techniciens)";510;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 510 (BARILLET DN200 INOX x20b)";;
362;X;;26/03/2018;"BAZELISAL (Alexandre Bazelis)";510;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 510 (BARILLET DN200 INOX x20b)";;
